曲目名,专辑名,歌手,文件名
四面楚歌,十一月的萧邦,周杰伦,周杰伦 - 四面楚歌.mp3
回到过去,八度空间,周杰伦,周杰伦 - 回到过去.mp3
园游会,七里香,周杰伦,周杰伦 - 园游会.mp3
困兽之斗,七里香,周杰伦,周杰伦 - 困兽之斗.mp3
外婆,七里香,周杰伦,周杰伦 - 外婆.mp3
夜曲,十一月的肖邦,周杰伦,周杰伦 - 夜曲.mp3
夜的第七章,依然范特西,周杰伦,周杰伦 - 夜的第七章.mp3
她的睫毛,叶惠美,周杰伦,周杰伦 - 她的睫毛.mp3
将军,七里香,周杰伦,周杰伦 - 将军.mp3
心雨,依然范特西,周杰伦,周杰伦 - 心雨.mp3
懦夫,叶惠美,周杰伦,周杰伦 - 懦夫.mp3
我的地盘,七里香,周杰伦,周杰伦 - 我的地盘.mp3
搁浅,七里香,周杰伦,周杰伦 - 搁浅.mp3
晴天,叶惠美,周杰伦,周杰伦 - 晴天.mp3
暗号,八度空间,周杰伦,周杰伦 - 暗号.mp3
最后的战役,八度空间,周杰伦,周杰伦 - 最后的战役.mp3
本草纲目,依然范特西,周杰伦,周杰伦 - 本草纲目.mp3
枫,十一月的萧邦,周杰伦,周杰伦 - 枫.mp3
梯田,叶惠美,周杰伦,周杰伦 - 梯田.mp3
止战之殇,七里香,周杰伦,周杰伦 - 止战之殇.mp3
浪漫手机,十一月的萧邦,周杰伦,周杰伦 - 浪漫手机.mp3
火车叨位去,八度空间,周杰伦,周杰伦 - 火车叨位去.mp3
爱情悬崖,叶惠美,周杰伦,周杰伦 - 爱情悬崖.mp3
爷爷泡的茶,八度空间,周杰伦,周杰伦 - 爷爷泡的茶.mp3
珊瑚海,十一月的萧邦,周杰伦,周杰伦 - 珊瑚海.mp3
白色风车,依然范特西,周杰伦,周杰伦 - 白色风车.mp3
米兰的小铁匠,八度空间,周杰伦,周杰伦 - 米兰的小铁匠.mp3
红模仿,依然范特西,周杰伦,周杰伦 - 红模仿.mp3
菊花台,依然范特西,周杰伦,周杰伦 - 菊花台.mp3
蓝色风暴,十一月的萧邦,周杰伦,周杰伦 - 蓝色风暴.mp3
迷迭香,依然范特西,周杰伦,周杰伦 - 迷迭香.mp3
退后,依然范特西,周杰伦,周杰伦 - 退后.mp3
逆鳞,十一月的萧邦,周杰伦,周杰伦 - 逆鳞.mp3
飘移,头文字D,周杰伦,周杰伦 - 飘移.mp3
麦芽糖,十一月的萧邦,周杰伦,周杰伦 - 麦芽糖.mp3
黑色毛衣,十一月的萧邦,周杰伦,周杰伦 - 黑色毛衣.mp3
龙拳,八度空间,周杰伦,周杰伦 - 龙拳.mp3
千里之外,依然范特西,周杰伦,周杰伦、费玉清 - 千里之外.mp3
小幸运,小幸运,田馥甄,小幸运_田馥甄.mp3
乌托邦,My Love,田馥甄,田馥甄 - 01.乌托邦.mp3
要说什么,My Love,田馥甄,田馥甄 - 02.要说什么.mp3
My Love,My Love,田馥甄,田馥甄 - 03.My Love.mp3
请你给我好一点的情敌,My Love,田馥甄,田馥甄 - 04.请你给我好一点的情敌.mp3
还是要幸福,My Love,田馥甄,田馥甄 - 05.还是要幸福.mp3
魔鬼中的天使,My Love,田馥甄,田馥甄 - 06.魔鬼中的天使.mp3
无事生非,My Love,田馥甄,田馥甄 - 07.无事生非.mp3
花花世界,My Love,田馥甄,田馥甄 - 08.花花世界.mp3
影子的影子,My Love,田馥甄,田馥甄 - 09.影子的影子.mp3
你,My Love,田馥甄,田馥甄 - 10.你.mp3
